Year,State,State_Year,Eligible_Households,Total_HDD,Total_CDD,30NormHDD,LI_Coal_Heaters,LI_NG_Heaters,LI_FO_KE_Heaters,LI_LPG_Heaters,LI_EL_Heaters,LI_Wood_Heaters,Coal_Consumed,FO_Consumed,EL_Consumed,LPG_Consumed,KE_Consumed,NG_Consumed,Total_Energy_Consumed,Wood_Consumed,Coal_Exp,FO_Exp,EL_Exp,LPG_Exp,KE_Exp,NG_Exp,Total_Exp,Wood_Exp,Coal_Price,FO_Price,EL_Price,LPG_Price,KE_Price,NG_Price,Total_Avg_Price,Wood_Price,Percent_Allocation
2006,ALABAMA,ALABAMA 2006,578399,1046,2233,2840,260,202990,3940,97295,236090,19548,56.0,54.0,110129.0,6391.0,284.0,39180.0,386066.0,4070.0,0.3,0.9,2824.7,143.0,4.8,716.9,3703.0,12.5,5.63,15.99,25.65,22.37,16.91,18.3,23.48,7.87,0.017216036
2007,ALABAMA,ALABAMA 2007,581226,876,2290,2840,260,202990,3940,97295,236090,19548,2.0,48.0,111857.0,6846.0,181.0,36412.0,394481.0,4498.0,0.0,0.8,3056.8,165.7,2.8,643.6,3885.1,15.3,4.51,17.5,27.33,24.21,15.36,17.68,24.73,8.7,0.019316963
2008,ALABAMA,ALABAMA 2008,581226,1097,1957,2840,260,202990,3940,97295,236090,19548,0.0,53.0,109814.0,7569.0,46.0,38656.0,388024.0,5033.0,0.0,1.3,3347.6,215.9,0.9,691.6,4278.4,21.1,0.0,24.36,30.48,28.53,19.04,17.89,27.06,10.72,0.016350465
2009,ALABAMA,ALABAMA 2009,575474,1124,1922,2840,260,202990,3940,97295,236090,19548,0.0,563.0,107442.0,7798.0,65.0,37030.0,372781.0,6666.0,0.0,8.0,3356.0,184.6,1.3,653.4,4224.3,21.0,0.0,14.23,31.24,23.67,19.42,17.65,27.16,8.05,0.016500435
2010,ALABAMA,ALABAMA 2010,570228,1191,2346,2840,192,182737,3307,80803,301848,9216,0.0,699.0,121226.0,8504.0,86.0,42872.0,419277.0,7149.0,0.0,12.1,3790.7,226.2,1.8,666.6,4723.9,26.5,0.0,17.28,31.27,26.6,20.58,15.55,26.81,9.5,0.015822369
2011,ALABAMA,ALABAMA 2011,618693,995,2150,2840,192,182737,3307,80803,301848,9216,0.0,62.0,112606.0,5876.0,70.0,37180.0,377607.0,6934.0,0.0,1.5,3661.5,170.8,1.8,551.7,4418.2,31.0,0.0,24.87,32.52,29.06,25.42,14.84,27.87,11.42,0.015988103
2012,ALABAMA,ALABAMA 2012,618693,999,2086,2840,64,170356,2790,65588,325152,9329,0.0,104.0,104517.0,4208.0,15.0,28022.0,338290.0,5794.0,0.0,2.6,3491.4,112.5,0.4,446.8,4082.4,28.8,0.0,24.79,33.4,26.73,26.61,15.94,29.34,12.71,0.015829977
2013,ALABAMA,ALABAMA 2013,606739,1070,1903,2840,110,161197,2732,62631,332123,8994,0.0,89.0,107064.0,4688.0,15.0,35626.0,358238.0,7561.0,0.0,2.3,3532.6,124.1,0.4,542.4,4238.5,36.8,0.0,25.78,33.0,26.47,26.12,15.22,28.17,12.45,0.017157201
2014,ALABAMA,ALABAMA 2014,600043,1065,1980,2840,60,167300,2814,64149,372222,8991,0.0,101.0,112356.0,4942.0,22.0,39842.0,378853.0,7652.0,0.0,2.5,3781.9,153.3,0.6,570.3,4544.9,36.3,0.0,24.85,33.66,31.01,25.33,14.31,28.36,12.14,0.016859237
2015,ALABAMA,ALABAMA 2015,598659,615,2173,2840,61,156204,2620,57998,377505,8914,0.0,120.0,108872.0,5395.0,17.0,33653.0,349230.0,2123.0,0.0,1.9,3731.8,127.1,0.3,462.8,4330.8,6.9,0.0,15.59,34.28,23.55,16.65,13.75,29.09,8.37,0.014876655
2016,ALABAMA,ALABAMA 2016,600044,735,2500,2840,53,146973,2366,52714,385052,9429,0.0,92.0,109374.0,5041.0,12.0,29155.0,341584.0,1749.0,0.0,1.2,3843.4,113.5,0.2,399.4,4362.6,4.9,0.0,13.23,35.14,22.52,13.27,13.7,30.22,7.15,0.015212202
2017,ALABAMA,ALABAMA 2017,597533,991,2134,2840,174,151492,3910,53197,378504,8855,0.0,83.0,102978.0,4760.0,4.0,27077.0,323377.0,1484.0,0.0,1.3,3786.7,124.1,0.1,424.6,4341.4,4.6,0.0,15.34,36.77,26.08,16.6,15.68,32.04,8.0,0.015089749
2018,ALABAMA,ALABAMA 2018,589952,1005,2304,2840,139,147915,2345,50972,390412,9254,0.0,69.0,112870.0,5741.0,13.0,35669.0,358161.0,2038.0,0.0,1.2,4027.6,155.4,0.3,528.5,4720.0,7.1,0.0,16.91,35.68,27.06,23.98,14.82,30.42,8.85,0.016275099
2019,ALABAMA,ALABAMA 2019,575106,917,2413,2840,123,144511,2013,47041,390328,9188,0.0,23.0,110602.0,6034.0,11.0,31472.0,347873.0,1978.0,0.0,0.4,4061.2,143.7,0.3,478.5,4690.6,6.6,0.0,16.29,36.72,23.81,22.39,15.21,31.5,8.51,0.017189685
2006,ALASKA,ALASKA 2006,59798,4959,2,11525,365,16565,18570,1315,7580,8202,783.0,11211.0,7234.0,532.0,1561.0,20715.0,59556.0,816.0,1.7,194.3,314.4,13.3,32.2,141.0,700.6,3.6,2.11,17.33,43.46,25.1,20.63,6.81,16.53,10.6,0.003715872
2007,ALASKA,ALASKA 2007,60314,4450,13,11525,365,16565,18570,1315,7580,8202,739.0,8435.0,7215.0,406.0,914.0,19961.0,53742.0,902.0,1.7,154.2,321.0,11.4,20.7,172.2,685.7,4.4,2.3,18.28,44.49,28.11,22.62,8.63,18.02,11.71,0.0037625
2008,ALASKA,ALASKA 2008,60389,5299,6,11525,365,16565,18570,1315,7580,8202,0.0,7216.0,7267.0,740.0,792.0,21568.0,53668.0,1009.0,0.0,182.7,352.6,25.5,22.2,186.9,776.1,6.1,0.0,25.32,48.52,34.4,28.04,8.67,20.42,14.42,0.003277386
