State,Year,State_Year,LI_Coal_Heaters,LI_NG_Heaters,LI_FO_KE_Heaters,LI_LPG_Heaters,LI_EL_Heaters,LI_Wood_Heaters
ALABAMA,2006,ALABAMA 2006,260,202990,3940,97295,236090,19548
ALABAMA,2007,ALABAMA 2007,260,202990,3940,97295,236090,19548
ALABAMA,2008,ALABAMA 2008,260,202990,3940,97295,236090,19548
ALABAMA,2009,ALABAMA 2009,260,202990,3940,97295,236090,19548
ALABAMA,2010,ALABAMA 2010,192,182737,3307,80803,301848,9216
ALABAMA,2011,ALABAMA 2011,192,182737,3307,80803,301848,9216
ALABAMA,2012,ALABAMA 2012,64,170356,2790,65588,325152,9329
ALABAMA,2013,ALABAMA 2013,110,161197,2732,62631,332123,8994
ALABAMA,2014,ALABAMA 2014,60,167300,2814,64149,372222,8991
ALABAMA,2015,ALABAMA 2015,61,156204,2620,57998,377505,8914
ALABAMA,2016,ALABAMA 2016,53,146973,2366,52714,385052,9429
ALABAMA,2017,ALABAMA 2017,174,151492,3910,53197,378504,8855
ALABAMA,2018,ALABAMA 2018,139,147915,2345,50972,390412,9254
ALABAMA,2019,ALABAMA 2019,123,144511,2013,47041,390328,9188
ALASKA,2006,ALASKA 2006,365,16565,18570,1315,7580,8202
ALASKA,2007,ALASKA 2007,365,16565,18570,1315,7580,8202
ALASKA,2008,ALASKA 2008,365,16565,18570,1315,7580,8202
ALASKA,2009,ALASKA 2009,365,16565,18570,1315,7580,8202
ALASKA,2010,ALASKA 2010,328,22258,21718,1569,10335,3582
ALASKA,2011,ALASKA 2011,328,22258,21718,1569,10335,3582
ALASKA,2012,ALASKA 2012,218,16511,16974,922,7119,4165
ALASKA,2013,ALASKA 2013,919,21184,21535,907,7763,5454
ALASKA,2014,ALASKA 2014,262,23539,22071,1152,9428,4989
ALASKA,2015,ALASKA 2015,61,24498,22975,1557,10217,5221
ALASKA,2016,ALASKA 2016,263,22953,20839,1321,10425,4945
ALASKA,2017,ALASKA 2017,229,23349,78207,1206,10506,5068
ALASKA,2018,ALASKA 2018,426,24823,20385,1135,11424,4941
ALASKA,2019,ALASKA 2019,496,24315,20078,969,11024,5205
ARIZONA,2006,ARIZONA 2006,660,162545,605,31550,218400,39842
ARIZONA,2007,ARIZONA 2007,660,162545,605,31550,218400,39842
ARIZONA,2008,ARIZONA 2008,660,162545,605,31550,218400,39842
ARIZONA,2009,ARIZONA 2009,660,162545,605,31550,218400,39842
ARIZONA,2010,ARIZONA 2010,695,181842,561,23592,312218,20136
ARIZONA,2011,ARIZONA 2011,695,181842,561,23592,312218,20136
ARIZONA,2012,ARIZONA 2012,259,185835,804,23077,357510,21335
ARIZONA,2013,ARIZONA 2013,263,202454,791,23435,403175,23196
ARIZONA,2014,ARIZONA 2014,116,213875,617,25256,449097,23690
ARIZONA,2015,ARIZONA 2015,108,205957,581,23099,453828,23332
ARIZONA,2016,ARIZONA 2016,72,193060,561,21346,440975,23300
ARIZONA,2017,ARIZONA 2017,130,181036,1624,19690,413757,23055
ARIZONA,2018,ARIZONA 2018,190,173254,523,19570,413952,23118
ARIZONA,2019,ARIZONA 2019,191,173228,590,19218,420813,22713
ARKANSAS,2006,ARKANSAS 2006,20,126790,430,44565,87490,49379
