State,Year,State_Year,Total_HDD,Total_CDD,30NormHDD
ALABAMA,1998,ALABAMA 1998,822,2176,2840
ALABAMA,1999,ALABAMA 1999,1035,1987,2840
ALABAMA,2000,ALABAMA 2000,1384,2206,2840
ALABAMA,2001,ALABAMA 2001,955,1842,2840
ALABAMA,2002,ALABAMA 2002,1157,2218,2840
ALABAMA,2003,ALABAMA 2003,1070,1903,2840
ALABAMA,2004,ALABAMA 2004,924,2082,2840
ALABAMA,2005,ALABAMA 2005,1143,2093,2840
ALABAMA,2006,ALABAMA 2006,1046,2233,2840
ALABAMA,2007,ALABAMA 2007,876,2290,2840
ALABAMA,2008,ALABAMA 2008,1097,1957,2840
ALABAMA,2009,ALABAMA 2009,1124,1922,2840
ALABAMA,2010,ALABAMA 2010,1191,2346,2840
ALABAMA,2011,ALABAMA 2011,995,2150,2840
ALABAMA,2012,ALABAMA 2012,999,2086,2840
ALABAMA,2013,ALABAMA 2013,1070,1903,2840
ALABAMA,2014,ALABAMA 2014,1065,1980,2840
ALABAMA,2015,ALABAMA 2015,615,2173,2840
ALABAMA,2016,ALABAMA 2016,735,2500,2840
ALABAMA,2017,ALABAMA 2017,991,2134,2840
ALABAMA,2018,ALABAMA 2018,1005,2304,2840
ALABAMA,2019,ALABAMA 2019,917,2413,2840
ALABAMA,2020,ALABAMA 2020,893,2096,2840
ALASKA,1998,ALASKA 1998,4862,11,11525
ALASKA,1999,ALASKA 1999,5049,19,11525
ALASKA,2000,ALASKA 2000,4566,4,11525
ALASKA,2001,ALASKA 2001,5141,6,11525
ALASKA,2002,ALASKA 2002,4080,12,11525
ALASKA,2003,ALASKA 2003,4671,22,11525
ALASKA,2004,ALASKA 2004,4372,47,11525
ALASKA,2005,ALASKA 2005,4585,14,11525
ALASKA,2006,ALASKA 2006,4959,2,11525
ALASKA,2007,ALASKA 2007,4450,13,11525
ALASKA,2008,ALASKA 2008,5299,6,11525
ALASKA,2009,ALASKA 2009,4699,17,11525
ALASKA,2010,ALASKA 2010,4851,11,11525
ALASKA,2011,ALASKA 2011,4868,7,11525
ALASKA,2012,ALASKA 2012,5229,5,11525
ALASKA,2013,ALASKA 2013,4442,54,11525
ALASKA,2014,ALASKA 2014,4187,8,11525
ALASKA,2015,ALASKA 2015,4475,33,11525
ALASKA,2016,ALASKA 2016,4498,23,11525
ALASKA,2017,ALASKA 2017,4314,20,11525
ALASKA,2018,ALASKA 2018,3921,20,11525
ALASKA,2019,ALASKA 2019,3810,92,11525
ALASKA,2020,ALASKA 2020,4457,5,11525
ARIZONA,1998,ARIZONA 1998,819,2496,2160
ARIZONA,1999,ARIZONA 1999,679,2642,2160
ARIZONA,2000,ARIZONA 2000,919,3039,2160
