State,Year,State_Year,Coal_Consumed,FO_Consumed,EL_Consumed,LPG_Consumed,KE_Consumed,NG_Consumed,Total_Energy_Consumed,Wood_Consumed
ALABAMA,2006,ALABAMA 2006,56.0,54.0,110129.0,6391.0,284.0,39180.0,386066.0,4070.0
ALABAMA,2007,ALABAMA 2007,2.0,48.0,111857.0,6846.0,181.0,36412.0,394481.0,4498.0
ALABAMA,2008,ALABAMA 2008,0.0,53.0,109814.0,7569.0,46.0,38656.0,388024.0,5033.0
ALABAMA,2009,ALABAMA 2009,0.0,563.0,107442.0,7798.0,65.0,37030.0,372781.0,6666.0
ALABAMA,2010,ALABAMA 2010,0.0,699.0,121226.0,8504.0,86.0,42872.0,419277.0,7149.0
ALABAMA,2011,ALABAMA 2011,0.0,62.0,112606.0,5876.0,70.0,37180.0,377607.0,6934.0
ALABAMA,2012,ALABAMA 2012,0.0,104.0,104517.0,4208.0,15.0,28022.0,338290.0,5794.0
ALABAMA,2013,ALABAMA 2013,0.0,89.0,107064.0,4688.0,15.0,35626.0,358238.0,7561.0
ALABAMA,2014,ALABAMA 2014,0.0,101.0,112356.0,4942.0,22.0,39842.0,378853.0,7652.0
ALABAMA,2015,ALABAMA 2015,0.0,120.0,108872.0,5395.0,17.0,33653.0,349230.0,2123.0
ALABAMA,2016,ALABAMA 2016,0.0,92.0,109374.0,5041.0,12.0,29155.0,341584.0,1749.0
ALABAMA,2017,ALABAMA 2017,0.0,83.0,102978.0,4760.0,4.0,27077.0,323377.0,1484.0
ALABAMA,2018,ALABAMA 2018,0.0,69.0,112870.0,5741.0,13.0,35669.0,358161.0,2038.0
ALABAMA,2019,ALABAMA 2019,0.0,23.0,110602.0,6034.0,11.0,31472.0,347873.0,1978.0
ALASKA,2006,ALASKA 2006,783.0,11211.0,7234.0,532.0,1561.0,20715.0,59556.0,816.0
ALASKA,2007,ALASKA 2007,739.0,8435.0,7215.0,406.0,914.0,19961.0,53742.0,902.0
ALASKA,2008,ALASKA 2008,0.0,7216.0,7267.0,740.0,792.0,21568.0,53668.0,1009.0
ALASKA,2009,ALASKA 2009,0.0,8665.0,7225.0,704.0,77.0,20075.0,53536.0,2146.0
