Year,State,State_Year,Eligible_Households
2006,ALABAMA,ALABAMA 2006,578399
2007,ALABAMA,ALABAMA 2007,581226
2008,ALABAMA,ALABAMA 2008,581226
2009,ALABAMA,ALABAMA 2009,575474
2010,ALABAMA,ALABAMA 2010,570228
2011,ALABAMA,ALABAMA 2011,618693
2012,ALABAMA,ALABAMA 2012,618693
2013,ALABAMA,ALABAMA 2013,606739
2014,ALABAMA,ALABAMA 2014,600043
2015,ALABAMA,ALABAMA 2015,598659
2016,ALABAMA,ALABAMA 2016,600044
2017,ALABAMA,ALABAMA 2017,597533
2018,ALABAMA,ALABAMA 2018,589952
2019,ALABAMA,ALABAMA 2019,575106
2006,ALASKA,ALASKA 2006,59798
2007,ALASKA,ALASKA 2007,60314
2008,ALASKA,ALASKA 2008,60389
2009,ALASKA,ALASKA 2009,46322
2010,ALASKA,ALASKA 2010,57749
2011,ALASKA,ALASKA 2011,62060
2012,ALASKA,ALASKA 2012,62060
2013,ALASKA,ALASKA 2013,65436
2014,ALASKA,ALASKA 2014,61548
2015,ALASKA,ALASKA 2015,63236
2016,ALASKA,ALASKA 2016,63425
2017,ALASKA,ALASKA 2017,63445
2018,ALASKA,ALASKA 2018,65823
2019,ALASKA,ALASKA 2019,64999
2006,ARIZONA,ARIZONA 2006,571789
2007,ARIZONA,ARIZONA 2007,552379
2008,ARIZONA,ARIZONA 2008,552379
2009,ARIZONA,ARIZONA 2009,604487
2010,ARIZONA,ARIZONA 2010,668996
2011,ARIZONA,ARIZONA 2011,729566
2012,ARIZONA,ARIZONA 2012,729566
2013,ARIZONA,ARIZONA 2013,724592
2014,ARIZONA,ARIZONA 2014,696714
2015,ARIZONA,ARIZONA 2015,664660
2016,ARIZONA,ARIZONA 2016,653338
2017,ARIZONA,ARIZONA 2017,655219
2018,ARIZONA,ARIZONA 2018,654898
2019,ARIZONA,ARIZONA 2019,637191
2006,ARKANSAS,ARKANSAS 2006,321517
2007,ARKANSAS,ARKANSAS 2007,321981
2008,ARKANSAS,ARKANSAS 2008,321981
2009,ARKANSAS,ARKANSAS 2009,327423
2010,ARKANSAS,ARKANSAS 2010,332502
2011,ARKANSAS,ARKANSAS 2011,343888
2012,ARKANSAS,ARKANSAS 2012,343888
2013,ARKANSAS,ARKANSAS 2013,339850
2014,ARKANSAS,ARKANSAS 2014,343475
2015,ARKANSAS,ARKANSAS 2015,336564
2016,ARKANSAS,ARKANSAS 2016,343462
2017,ARKANSAS,ARKANSAS 2017,336480
2018,ARKANSAS,ARKANSAS 2018,333739
2019,ARKANSAS,ARKANSAS 2019,326686
2006,CALIFORNIA,CALIFORNIA 2006,3449607
2007,CALIFORNIA,CALIFORNIA 2007,3403230
2008,CALIFORNIA,CALIFORNIA 2008,3403230
2009,CALIFORNIA,CALIFORNIA 2009,3504925
2010,CALIFORNIA,CALIFORNIA 2010,3731650
2011,CALIFORNIA,CALIFORNIA 2011,3972995
2012,CALIFORNIA,CALIFORNIA 2012,3972995
2013,CALIFORNIA,CALIFORNIA 2013,3980034
2014,CALIFORNIA,CALIFORNIA 2014,3964208
2015,CALIFORNIA,CALIFORNIA 2015,3882439
2016,CALIFORNIA,CALIFORNIA 2016,3774978
2017,CALIFORNIA,CALIFORNIA 2017,3716264
2018,CALIFORNIA,CALIFORNIA 2018,3708530
2019,CALIFORNIA,CALIFORNIA 2019,3515072
2006,COLORADO,COLORADO 2006,516354
2007,COLORADO,COLORADO 2007,510809
2008,COLORADO,COLORADO 2008,510809
2009,COLORADO,COLORADO 2009,511744
2010,COLORADO,COLORADO 2010,544370
2011,COLORADO,COLORADO 2011,579321
2012,COLORADO,COLORADO 2012,579321
2013,COLORADO,COLORADO 2013,583552
2014,COLORADO,COLORADO 2014,581340
2015,COLORADO,COLORADO 2015,592337
2016,COLORADO,COLORADO 2016,583409
2017,COLORADO,COLORADO 2017,583310
2018,COLORADO,COLORADO 2018,573289
2019,COLORADO,COLORADO 2019,557697
2006,CONNECTICUT,CONNECTICUT 2006,377347
2007,CONNECTICUT,CONNECTICUT 2007,375961
2008,CONNECTICUT,CONNECTICUT 2008,375961
2009,CONNECTICUT,CONNECTICUT 2009,387027
2010,CONNECTICUT,CONNECTICUT 2010,427180
2011,CONNECTICUT,CONNECTICUT 2011,446544
2012,CONNECTICUT,CONNECTICUT 2012,446544
2013,CONNECTICUT,CONNECTICUT 2013,447461
2014,CONNECTICUT,CONNECTICUT 2014,439760
2015,CONNECTICUT,CONNECTICUT 2015,436824
2016,CONNECTICUT,CONNECTICUT 2016,434957
2017,CONNECTICUT,CONNECTICUT 2017,433877
2018,CONNECTICUT,CONNECTICUT 2018,430825
2019,CONNECTICUT,CONNECTICUT 2019,424233
2006,DELAWARE,DELAWARE 2006,86347
2007,DELAWARE,DELAWARE 2007,87917
2008,DELAWARE,DELAWARE 2008,87917
2009,DELAWARE,DELAWARE 2009,91924
2010,DELAWARE,DELAWARE 2010,95790
2011,DELAWARE,DELAWARE 2011,101632
2012,DELAWARE,DELAWARE 2012,101632
2013,DELAWARE,DELAWARE 2013,99462
2014,DELAWARE,DELAWARE 2014,101929
2015,DELAWARE,DELAWARE 2015,98932
2016,DELAWARE,DELAWARE 2016,101355
2017,DELAWARE,DELAWARE 2017,100045
2018,DELAWARE,DELAWARE 2018,101882
2019,DELAWARE,DELAWARE 2019,101561
2006,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2006,63796
2007,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2007,64136
2008,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2008,64136
2009,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2009,66297
2010,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2010,62347
2011,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2011,64182
2012,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2012,64182
2013,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2013,63967
2014,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2014,71007
2015,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2015,80213
2016,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2016,87721
2017,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2017,75822
2018,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2018,82290
2019,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2019,78309
2006,FLORIDA,FLORIDA 2006,1873040
2007,FLORIDA,FLORIDA 2007,1842493
2008,FLORIDA,FLORIDA 2008,1842493
2009,FLORIDA,FLORIDA 2009,1946100
2010,FLORIDA,FLORIDA 2010,2115225
2011,FLORIDA,FLORIDA 2011,2256727
2012,FLORIDA,FLORIDA 2012,2256727
2013,FLORIDA,FLORIDA 2013,2208205
2014,FLORIDA,FLORIDA 2014,2140515
2015,FLORIDA,FLORIDA 2015,2086727
2016,FLORIDA,FLORIDA 2016,2064399
2017,FLORIDA,FLORIDA 2017,2050786
2018,FLORIDA,FLORIDA 2018,2044074
2019,FLORIDA,FLORIDA 2019,1975974
2006,GEORGIA,GEORGIA 2006,981849
2007,GEORGIA,GEORGIA 2007,952578
2008,GEORGIA,GEORGIA 2008,952578
2009,GEORGIA,GEORGIA 2009,1017950
2010,GEORGIA,GEORGIA 2010,1107784
2011,GEORGIA,GEORGIA 2011,1161262
2012,GEORGIA,GEORGIA 2012,1161262
2013,GEORGIA,GEORGIA 2013,1150442
2014,GEORGIA,GEORGIA 2014,1113914
2015,GEORGIA,GEORGIA 2015,1097605
2016,GEORGIA,GEORGIA 2016,1083988
2017,GEORGIA,GEORGIA 2017,1077243
2018,GEORGIA,GEORGIA 2018,1058459
2019,GEORGIA,GEORGIA 2019,1015917
2006,HAWAII,HAWAII 2006,106510
2007,HAWAII,HAWAII 2007,103726
2008,HAWAII,HAWAII 2008,103926
2009,HAWAII,HAWAII 2009,120192
2010,HAWAII,HAWAII 2010,120767
2011,HAWAII,HAWAII 2011,133230
2012,HAWAII,HAWAII 2012,133230
2013,HAWAII,HAWAII 2013,128521
2014,HAWAII,HAWAII 2014,126864
2015,HAWAII,HAWAII 2015,117901
2016,HAWAII,HAWAII 2016,113015
2017,HAWAII,HAWAII 2017,114245
2018,HAWAII,HAWAII 2018,113359
2019,HAWAII,HAWAII 2019,110693
2006,IDAHO,IDAHO 2006,139711
2007,IDAHO,IDAHO 2007,140280
2008,IDAHO,IDAHO 2008,140280
2009,IDAHO,IDAHO 2009,141209
2010,IDAHO,IDAHO 2010,157633
2011,IDAHO,IDAHO 2011,169526
2012,IDAHO,IDAHO 2012,169526
2013,IDAHO,IDAHO 2013,162831
2014,IDAHO,IDAHO 2014,158438
2015,IDAHO,IDAHO 2015,154542
2016,IDAHO,IDAHO 2016,154560
2017,IDAHO,IDAHO 2017,152227
2018,IDAHO,IDAHO 2018,154042
2019,IDAHO,IDAHO 2019,149489
2006,ILLINOIS,ILLINOIS 2006,1419684
2007,ILLINOIS,ILLINOIS 2007,1393107
2008,ILLINOIS,ILLINOIS 2008,1393107
2009,ILLINOIS,ILLINOIS 2009,1398681
2010,ILLINOIS,ILLINOIS 2010,1456346
2011,ILLINOIS,ILLINOIS 2011,1532107
2012,ILLINOIS,ILLINOIS 2012,1532107
2013,ILLINOIS,ILLINOIS 2013,1516472
2014,ILLINOIS,ILLINOIS 2014,1510993
2015,ILLINOIS,ILLINOIS 2015,1491484
2016,ILLINOIS,ILLINOIS 2016,1471574
2017,ILLINOIS,ILLINOIS 2017,1472442
2018,ILLINOIS,ILLINOIS 2018,1467814
2019,ILLINOIS,ILLINOIS 2019,1430528
2006,INDIANA,INDIANA 2006,712787
2007,INDIANA,INDIANA 2007,702210
2008,INDIANA,INDIANA 2008,702210
2009,INDIANA,INDIANA 2009,716231
2010,INDIANA,INDIANA 2010,735312
2011,INDIANA,INDIANA 2011,769995
2012,INDIANA,INDIANA 2012,769995
2013,INDIANA,INDIANA 2013,752121
2014,INDIANA,INDIANA 2014,749412
2015,INDIANA,INDIANA 2015,741875
2016,INDIANA,INDIANA 2016,733638
2017,INDIANA,INDIANA 2017,735341
2018,INDIANA,INDIANA 2018,717722
2019,INDIANA,INDIANA 2019,690086
2006,IOWA,IOWA 2006,339104
2007,IOWA,IOWA 2007,340260
2008,IOWA,IOWA 2008,340260
2009,IOWA,IOWA 2009,328668
2010,IOWA,IOWA 2010,341388
2011,IOWA,IOWA 2011,352806
2012,IOWA,IOWA 2012,352806
2013,IOWA,IOWA 2013,350942
2014,IOWA,IOWA 2014,347131
2015,IOWA,IOWA 2015,359096
2016,IOWA,IOWA 2016,356306
2017,IOWA,IOWA 2017,361096
2018,IOWA,IOWA 2018,351929
2019,IOWA,IOWA 2019,340625
2006,KANSAS,KANSAS 2006,317441
2007,KANSAS,KANSAS 2007,313971
2008,KANSAS,KANSAS 2008,313971
2009,KANSAS,KANSAS 2009,305643
2010,KANSAS,KANSAS 2010,315143
2011,KANSAS,KANSAS 2011,330807
2012,KANSAS,KANSAS 2012,330807
2013,KANSAS,KANSAS 2013,320744
2014,KANSAS,KANSAS 2014,314904
2015,KANSAS,KANSAS 2015,321227
2016,KANSAS,KANSAS 2016,322302
2017,KANSAS,KANSAS 2017,315572
2018,KANSAS,KANSAS 2018,313273
2019,KANSAS,KANSAS 2019,307940
2006,KENTUCKY,KENTUCKY 2006,508743
2007,KENTUCKY,KENTUCKY 2007,512456
2008,KENTUCKY,KENTUCKY 2008,512456
2009,KENTUCKY,KENTUCKY 2009,535079
2010,KENTUCKY,KENTUCKY 2010,541910
2011,KENTUCKY,KENTUCKY 2011,568737
2012,KENTUCKY,KENTUCKY 2012,568737
2013,KENTUCKY,KENTUCKY 2013,556865
2014,KENTUCKY,KENTUCKY 2014,550567
2015,KENTUCKY,KENTUCKY 2015,560390
2016,KENTUCKY,KENTUCKY 2016,560478
2017,KENTUCKY,KENTUCKY 2017,573913
2018,KENTUCKY,KENTUCKY 2018,560836
2019,KENTUCKY,KENTUCKY 2019,545139
2006,LOUISIANA,LOUISIANA 2006,507114
2007,LOUISIANA,LOUISIANA 2007,499502
2008,LOUISIANA,LOUISIANA 2008,499502
2009,LOUISIANA,LOUISIANA 2009,512800
2010,LOUISIANA,LOUISIANA 2010,522757
2011,LOUISIANA,LOUISIANA 2011,569823
2012,LOUISIANA,LOUISIANA 2012,569823
2013,LOUISIANA,LOUISIANA 2013,583017
2014,LOUISIANA,LOUISIANA 2014,591845
2015,LOUISIANA,LOUISIANA 2015,598119
2016,LOUISIANA,LOUISIANA 2016,599077
2017,LOUISIANA,LOUISIANA 2017,609045
2018,LOUISIANA,LOUISIANA 2018,611206
2019,LOUISIANA,LOUISIANA 2019,596676
2006,MAINE,MAINE 2006,148013
2007,MAINE,MAINE 2007,153761
2008,MAINE,MAINE 2008,153761
2009,MAINE,MAINE 2009,149241
2010,MAINE,MAINE 2010,163055
2011,MAINE,MAINE 2011,168263
2012,MAINE,MAINE 2012,168263
2013,MAINE,MAINE 2013,165044
2014,MAINE,MAINE 2014,171101
2015,MAINE,MAINE 2015,172745
2016,MAINE,MAINE 2016,175531
2017,MAINE,MAINE 2017,170798
2018,MAINE,MAINE 2018,167128
2019,MAINE,MAINE 2019,160941
2006,MARYLAND,MARYLAND 2006,537967
2007,MARYLAND,MARYLAND 2007,541862
2008,MARYLAND,MARYLAND 2008,541862
2009,MARYLAND,MARYLAND 2009,571665
2010,MARYLAND,MARYLAND 2010,611791
2011,MARYLAND,MARYLAND 2011,645736
2012,MARYLAND,MARYLAND 2012,645736
2013,MARYLAND,MARYLAND 2013,651176
2014,MARYLAND,MARYLAND 2014,652002
2015,MARYLAND,MARYLAND 2015,664597
2016,MARYLAND,MARYLAND 2016,661791
2017,MARYLAND,MARYLAND 2017,658770
2018,MARYLAND,MARYLAND 2018,646002
2019,MARYLAND,MARYLAND 2019,624821
2006,MASSACHUSETTS,MASSACHUSETTS 2006,741928
2007,MASSACHUSETTS,MASSACHUSETTS 2007,739325
2008,MASSACHUSETTS,MASSACHUSETTS 2008,739325
2009,MASSACHUSETTS,MASSACHUSETTS 2009,728137
2010,MASSACHUSETTS,MASSACHUSETTS 2010,801021
2011,MASSACHUSETTS,MASSACHUSETTS 2011,851512
2012,MASSACHUSETTS,MASSACHUSETTS 2012,851512
2013,MASSACHUSETTS,MASSACHUSETTS 2013,866450
2014,MASSACHUSETTS,MASSACHUSETTS 2014,859275
2015,MASSACHUSETTS,MASSACHUSETTS 2015,860902
2016,MASSACHUSETTS,MASSACHUSETTS 2016,859731
2017,MASSACHUSETTS,MASSACHUSETTS 2017,856746
2018,MASSACHUSETTS,MASSACHUSETTS 2018,849796
2019,MASSACHUSETTS,MASSACHUSETTS 2019,824818
2006,MICHIGAN,MICHIGAN 2006,1202113
2007,MICHIGAN,MICHIGAN 2007,1204341
2008,MICHIGAN,MICHIGAN 2008,1204341
2009,MICHIGAN,MICHIGAN 2009,1219874
2010,MICHIGAN,MICHIGAN 2010,1279202
2011,MICHIGAN,MICHIGAN 2011,1302893
2012,MICHIGAN,MICHIGAN 2012,1302893
2013,MICHIGAN,MICHIGAN 2013,1245264
2014,MICHIGAN,MICHIGAN 2014,1221328
2015,MICHIGAN,MICHIGAN 2015,1200571
2016,MICHIGAN,MICHIGAN 2016,1180137
2017,MICHIGAN,MICHIGAN 2017,1198808
2018,MICHIGAN,MICHIGAN 2018,1178417
2019,MICHIGAN,MICHIGAN 2019,1150627
2006,MINNESOTA,MINNESOTA 2006,556785
2007,MINNESOTA,MINNESOTA 2007,565469
2008,MINNESOTA,MINNESOTA 2008,565469
2009,MINNESOTA,MINNESOTA 2009,595269
2010,MINNESOTA,MINNESOTA 2010,627733
2011,MINNESOTA,MINNESOTA 2011,650339
2012,MINNESOTA,MINNESOTA 2012,650339
2013,MINNESOTA,MINNESOTA 2013,629724
2014,MINNESOTA,MINNESOTA 2014,617387
2015,MINNESOTA,MINNESOTA 2015,615404
2016,MINNESOTA,MINNESOTA 2016,623763
2017,MINNESOTA,MINNESOTA 2017,628945
2018,MINNESOTA,MINNESOTA 2018,621641
2019,MINNESOTA,MINNESOTA 2019,607337
2006,MISSISSIPPI,MISSISSIPPI 2006,353120
2007,MISSISSIPPI,MISSISSIPPI 2007,354579
2008,MISSISSIPPI,MISSISSIPPI 2008,354579
2009,MISSISSIPPI,MISSISSIPPI 2009,356209
2010,MISSISSIPPI,MISSISSIPPI 2010,350528
2011,MISSISSIPPI,MISSISSIPPI 2011,365603
2012,MISSISSIPPI,MISSISSIPPI 2012,365603
2013,MISSISSIPPI,MISSISSIPPI 2013,365469
2014,MISSISSIPPI,MISSISSIPPI 2014,373710
2015,MISSISSIPPI,MISSISSIPPI 2015,370953
2016,MISSISSIPPI,MISSISSIPPI 2016,367054
2017,MISSISSIPPI,MISSISSIPPI 2017,360762
2018,MISSISSIPPI,MISSISSIPPI 2018,354687
