State,Year,State_Year,Percent_Allocation
ALABAMA,2006,ALABAMA 2006,0.017216036
ALABAMA,2007,ALABAMA 2007,0.019316963
ALABAMA,2008,ALABAMA 2008,0.016350465
ALABAMA,2009,ALABAMA 2009,0.016500435
ALABAMA,2010,ALABAMA 2010,0.015822369
ALABAMA,2011,ALABAMA 2011,0.015988103
ALABAMA,2012,ALABAMA 2012,0.015829977
ALABAMA,2013,ALABAMA 2013,0.017157201
ALABAMA,2014,ALABAMA 2014,0.016859237
ALABAMA,2015,ALABAMA 2015,0.014876655
ALABAMA,2016,ALABAMA 2016,0.015212202
ALABAMA,2017,ALABAMA 2017,0.015089749
ALABAMA,2018,ALABAMA 2018,0.016275099
ALABAMA,2019,ALABAMA 2019,0.017189685
ALASKA,2006,ALASKA 2006,0.003715872
ALASKA,2007,ALASKA 2007,0.0037625
ALASKA,2008,ALASKA 2008,0.003277386
ALASKA,2009,ALASKA 2009,0.003173142
ALASKA,2010,ALASKA 2010,0.00575086
ALASKA,2011,ALASKA 2011,0.005111358
ALASKA,2012,ALASKA 2012,0.003982786
ALASKA,2013,ALASKA 2013,0.005221898
ALASKA,2014,ALASKA 2014,0.005628025
ALASKA,2015,ALASKA 2015,0.004907894
ALASKA,2016,ALASKA 2016,0.004322221
ALASKA,2017,ALASKA 2017,0.004299124
ALASKA,2018,ALASKA 2018,0.004391882
ALASKA,2019,ALASKA 2019,0.004381297
ARIZONA,2006,ARIZONA 2006,0.008383531
ARIZONA,2007,ARIZONA 2007,0.009920136
ARIZONA,2008,ARIZONA 2008,0.008086163
ARIZONA,2009,ARIZONA 2009,0.008132346
ARIZONA,2010,ARIZONA 2010,0.010184084
ARIZONA,2011,ARIZONA 2011,0.010980082
ARIZONA,2012,ARIZONA 2012,0.011320882
ARIZONA,2013,ARIZONA 2013,0.013264497
ARIZONA,2014,ARIZONA 2014,0.013791835
ARIZONA,2015,ARIZONA 2015,0.014235192
ARIZONA,2016,ARIZONA 2016,0.014396455
ARIZONA,2017,ARIZONA 2017,0.013141053
ARIZONA,2018,ARIZONA 2018,0.014193194
ARIZONA,2019,ARIZONA 2019,0.015426716
ARKANSAS,2006,ARKANSAS 2006,0.009294977
ARKANSAS,2007,ARKANSAS 2007,0.010818348
ARKANSAS,2008,ARKANSAS 2008,0.009170877
ARKANSAS,2009,ARKANSAS 2009,0.009096006
ARKANSAS,2010,ARKANSAS 2010,0.008838231
ARKANSAS,2011,ARKANSAS 2011,0.008516196
ARKANSAS,2012,ARKANSAS 2012,0.008985506
ARKANSAS,2013,ARKANSAS 2013,0.008762018
ARKANSAS,2014,ARKANSAS 2014,0.008762399
ARKANSAS,2015,ARKANSAS 2015,0.008461325
ARKANSAS,2016,ARKANSAS 2016,0.008911666
ARKANSAS,2017,ARKANSAS 2017,0.008437912
ARKANSAS,2018,ARKANSAS 2018,0.00931138
ARKANSAS,2019,ARKANSAS 2019,0.009041187
CALIFORNIA,2006,CALIFORNIA 2006,0.06254559
CALIFORNIA,2007,CALIFORNIA 2007,0.056900051
CALIFORNIA,2008,CALIFORNIA 2008,0.054455486
CALIFORNIA,2009,CALIFORNIA 2009,0.053027061
CALIFORNIA,2010,CALIFORNIA 2010,0.044793255
CALIFORNIA,2011,CALIFORNIA 2011,0.044532038
CALIFORNIA,2012,CALIFORNIA 2012,0.044515302
CALIFORNIA,2013,CALIFORNIA 2013,0.04433303
CALIFORNIA,2014,CALIFORNIA 2014,0.045356637
CALIFORNIA,2015,CALIFORNIA 2015,0.053711438
CALIFORNIA,2016,CALIFORNIA 2016,0.055037384
CALIFORNIA,2017,CALIFORNIA 2017,0.052310033
CALIFORNIA,2018,CALIFORNIA 2018,0.055224211
CALIFORNIA,2019,CALIFORNIA 2019,0.05990855
COLORADO,2006,COLORADO 2006,0.011481664
COLORADO,2007,COLORADO 2007,0.012797757
COLORADO,2008,COLORADO 2008,0.013101804
COLORADO,2009,COLORADO 2009,0.013050192
COLORADO,2010,COLORADO 2010,0.013328811
COLORADO,2011,COLORADO 2011,0.012472313
COLORADO,2012,COLORADO 2012,0.012674211
COLORADO,2013,COLORADO 2013,0.012643055
COLORADO,2014,COLORADO 2014,0.012703998
COLORADO,2015,COLORADO 2015,0.013914727
COLORADO,2016,COLORADO 2016,0.014134961
COLORADO,2017,COLORADO 2017,0.014838804
COLORADO,2018,COLORADO 2018,0.014219504
COLORADO,2019,COLORADO 2019,0.014380779
CONNECTICUT,2006,CONNECTICUT 2006,0.019520627
CONNECTICUT,2007,CONNECTICUT 2007,0.017317158
CONNECTICUT,2008,CONNECTICUT 2008,0.021445712
CONNECTICUT,2009,CONNECTICUT 2009,0.021641445
CONNECTICUT,2010,CONNECTICUT 2010,0.022053815
CONNECTICUT,2011,CONNECTICUT 2011,0.022386524
CONNECTICUT,2012,CONNECTICUT 2012,0.023984134
CONNECTICUT,2013,CONNECTICUT 2013,0.024164709
CONNECTICUT,2014,CONNECTICUT 2014,0.023714599
CONNECTICUT,2015,CONNECTICUT 2015,0.027112713
CONNECTICUT,2016,CONNECTICUT 2016,0.025076536
CONNECTICUT,2017,CONNECTICUT 2017,0.024110011
CONNECTICUT,2018,CONNECTICUT 2018,0.022646695
CONNECTICUT,2019,CONNECTICUT 2019,0.020690095
DELAWARE,2006,DELAWARE 2006,0.004317706
DELAWARE,2007,DELAWARE 2007,0.004347685
DELAWARE,2008,DELAWARE 2008,0.004496285
DELAWARE,2009,DELAWARE 2009,0.004534179
DELAWARE,2010,DELAWARE 2010,0.003753169
DELAWARE,2011,DELAWARE 2011,0.003729304
DELAWARE,2012,DELAWARE 2012,0.003750734
DELAWARE,2013,DELAWARE 2013,0.004213455
DELAWARE,2014,DELAWARE 2014,0.004267262
DELAWARE,2015,DELAWARE 2015,0.004072953
DELAWARE,2016,DELAWARE 2016,0.004088025
DELAWARE,2017,DELAWARE 2017,0.003847412
DELAWARE,2018,DELAWARE 2018,0.004118313
DELAWARE,2019,DELAWARE 2019,0.00383291
DISTRICT OF COLUMBIA,2006,DISTRICT OF COLUMBIA 2006,0.003205946
DISTRICT OF COLUMBIA,2007,DISTRICT OF COLUMBIA 2007,0.003089931
DISTRICT OF COLUMBIA,2008,DISTRICT OF COLUMBIA 2008,0.003245032
DISTRICT OF COLUMBIA,2009,DISTRICT OF COLUMBIA 2009,0.003281828
DISTRICT OF COLUMBIA,2010,DISTRICT OF COLUMBIA 2010,0.001811431
DISTRICT OF COLUMBIA,2011,DISTRICT OF COLUMBIA 2011,0.001922045
DISTRICT OF COLUMBIA,2012,DISTRICT OF COLUMBIA 2012,0.001939685
DISTRICT OF COLUMBIA,2013,DISTRICT OF COLUMBIA 2013,0.001844102
DISTRICT OF COLUMBIA,2014,DISTRICT OF COLUMBIA 2014,0.001488891
DISTRICT OF COLUMBIA,2015,DISTRICT OF COLUMBIA 2015,0.001727188
DISTRICT OF COLUMBIA,2016,DISTRICT OF COLUMBIA 2016,0.001886549
DISTRICT OF COLUMBIA,2017,DISTRICT OF COLUMBIA 2017,0.002067982
DISTRICT OF COLUMBIA,2018,DISTRICT OF COLUMBIA 2018,0.002589583
DISTRICT OF COLUMBIA,2019,DISTRICT OF COLUMBIA 2019,0.001929175
FLORIDA,2006,FLORIDA 2006,0.035828645
FLORIDA,2007,FLORIDA 2007,0.041871799
FLORIDA,2008,FLORIDA 2008,0.037403068
FLORIDA,2009,FLORIDA 2009,0.037809882
FLORIDA,2010,FLORIDA 2010,0.047282008
FLORIDA,2011,FLORIDA 2011,0.045826792
