State,Year,State_Year,Total_HDD,Total_CDD,Lag_HDD,Lag_CDD,30NormHDD
ALABAMA,1998,ALABAMA 1998,822,2176,,,2840
ALABAMA,1999,ALABAMA 1999,1035,1987,,,2840
ALABAMA,2000,ALABAMA 2000,1384,2206,822,2176,2840
ALABAMA,2001,ALABAMA 2001,955,1842,1035,1987,2840
ALABAMA,2002,ALABAMA 2002,1157,2218,1384,2206,2840
ALABAMA,2003,ALABAMA 2003,1070,1903,955,1842,2840
ALABAMA,2004,ALABAMA 2004,924,2082,1157,2218,2840
ALABAMA,2005,ALABAMA 2005,1143,2093,1070,1903,2840
ALABAMA,2006,ALABAMA 2006,1046,2233,924,2082,2840
ALABAMA,2007,ALABAMA 2007,876,2290,1143,2093.0,2840
ALABAMA,2008,ALABAMA 2008,1097,1957,1046,2233.0,2840
ALABAMA,2009,ALABAMA 2009,1124,1922,876,2290.0,2840
ALABAMA,2010,ALABAMA 2010,1191,2346,1097,1957.0,2840
ALABAMA,2011,ALABAMA 2011,995,2150,1124,1922.0,2840
ALABAMA,2012,ALABAMA 2012,999,2086,1191,2346.0,2840
ALABAMA,2013,ALABAMA 2013,1070,1903,995,2150.0,2840
ALABAMA,2014,ALABAMA 2014,1065,1980,999,2086.0,2840
ALABAMA,2015,ALABAMA 2015,615,2173,1070,1903.0,2840
ALABAMA,2016,ALABAMA 2016,735,2500,1065,1980.0,2840
ALABAMA,2017,ALABAMA 2017,991,2134,615,2173.0,2840
ALABAMA,2018,ALABAMA 2018,1005,2304,735,2500.0,2840
ALABAMA,2019,ALABAMA 2019,917,2413,991,2134.0,2840
ALABAMA,2020,ALABAMA 2020,893,2096,1005,2304.0,2840
ALASKA,1998,ALASKA 1998,4862,11,,,11525
ALASKA,1999,ALASKA 1999,5049,19,,,11525
ALASKA,2000,ALASKA 2000,4566,4,4862,11,11525
ALASKA,2001,ALASKA 2001,5141,6,5049,19,11525
ALASKA,2002,ALASKA 2002,4080,12,4566,4,11525
ALASKA,2003,ALASKA 2003,4671,22,5141,6,11525
ALASKA,2004,ALASKA 2004,4372,47,4080,12,11525
ALASKA,2005,ALASKA 2005,4585,14,4671,22,11525
ALASKA,2006,ALASKA 2006,4959,2,4372,47,11525
ALASKA,2007,ALASKA 2007,4450,13,4585,14.0,11525
ALASKA,2008,ALASKA 2008,5299,6,4959,2.0,11525
ALASKA,2009,ALASKA 2009,4699,17,4450,13.0,11525
ALASKA,2010,ALASKA 2010,4851,11,5299,6.0,11525
ALASKA,2011,ALASKA 2011,4868,7,4699,17.0,11525
ALASKA,2012,ALASKA 2012,5229,5,4851,11.0,11525
ALASKA,2013,ALASKA 2013,4442,54,4868,7.0,11525
