State,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,0.017216036,0.019316963,0.016350465,0.016500435,0.015822369,0.015988103,0.015829977,0.017157201,0.016859237,0.014876655,0.015212202,0.015089749,0.016275099,0.017189685
Alaska,0.003715872,0.0037625,0.003277386,0.003173142,0.00575086,0.005111358,0.003982786,0.005221898,0.005628025,0.004907894,0.004322221,0.004299124,0.004391882,0.004381297
Arizona,0.008383531,0.009920136,0.008086163,0.008132346,0.010184084,0.010980082,0.011320882,0.013264497,0.013791835,0.014235192,0.014396455,0.013141053,0.014193194,0.015426716
Arkansas,0.009294977,0.010818348,0.009170877,0.009096006,0.008838231,0.008516196,0.008985506,0.008762018,0.008762399,0.008461325,0.008911666,0.008437912,0.00931138,0.009041187
California,0.06254559,0.056900051,0.054455486,0.053027061,0.044793255,0.044532038,0.044515302,0.04433303,0.045356637,0.053711438,0.055037384,0.052310033,0.055224211,0.05990855
Colorado,0.011481664,0.012797757,0.013101804,0.013050192,0.013328811,0.012472313,0.012674211,0.012643055,0.012703998,0.013914727,0.014134961,0.014838804,0.014219504,0.014380779
Connecticut,0.019520627,0.017317158,0.021445712,0.021641445,0.022053815,0.022386524,0.023984134,0.024164709,0.023714599,0.027112713,0.025076536,0.024110011,0.022646695,0.020690095
Delaware,0.004317706,0.004347685,0.004496285,0.004534179,0.003753169,0.003729304,0.003750734,0.004213455,0.004267262,0.004072953,0.004088025,0.003847412,0.004118313,0.00383291
Dist. of Col.,0.003205946,0.003089931,0.003245032,0.003281828,0.001811431,0.001922045,0.001939685,0.001844102,0.001488891,0.001727188,0.001886549,0.002067982,0.002589583,0.001929175
Florida,0.035828645,0.041871799,0.037403068,0.037809882,0.047282008,0.045826792,0.045926282,0.054750389,0.052006626,0.040573958,0.039356377,0.039436215,0.042255563,0.043715512
Georgia,0.024451296,0.028287036,0.027093154,0.027340526,0.026195733,0.026405664,0.027418267,0.031365246,0.03166021,0.030677918,0.02924319,0.029106765,0.031197558,0.033115651
Hawaii,0.001043165,0.001005817,0.000980376,0.000991543,0.001500837,0.001495314,0.002048765,0.001851936,0.002297797,0.002194086,0.001964894,0.001684739,0.00148586,0.001480244
Idaho,0.00329856,0.003859041,0.003559379,0.003309199,0.003958592,0.003493122,0.003348727,0.003394536,0.003710714,0.003636383,0.003867833,0.003510203,0.003434689,0.003617895
Illinois,0.059595454,0.047957763,0.049497399,0.049983896,0.048428865,0.050137809,0.052430204,0.046547572,0.045100466,0.040752923,0.042445115,0.04465936,0.041282297,0.043611067
Indiana,0.022042783,0.022091232,0.021185436,0.02127754,0.021470442,0.02080388,0.022091504,0.018142293,0.019335367,0.017123578,0.0179186,0.017950942,0.017899538,0.017864594
Iowa,0.011998329,0.010852444,0.010590247,0.010638886,0.010279461,0.010994157,0.010802941,0.010010827,0.010650204,0.010045696,0.01053901,0.011111465,0.010030984,0.009775131
Kansas,0.010941904,0.011051658,0.011020535,0.01106172,0.00978371,0.009931797,0.009669315,0.010015058,0.00944562,0.009320644,0.009824229,0.010445471,0.01048145,0.010534771
Kentucky,0.018107086,0.01688127,0.016232992,0.016208234,0.012433404,0.012556674,0.013436055,0.013292194,0.014568358,0.013184325,0.013945259,0.014623382,0.015116737,0.015464692
Louisiana,0.01679498,0.017040505,0.015006069,0.015138409,0.013243725,0.013647818,0.014139961,0.013776493,0.01386822,0.01236083,0.013940802,0.013966437,0.014901851,0.015873445
Maine,0.009285526,0.00721601,0.009886465,0.009083319,0.011265762,0.010904746,0.010103025,0.009273582,0.01041446,0.010519927,0.01065806,0.010621934,0.010246714,0.009356204
Maryland,0.026993387,0.024207232,0.026350082,0.026516028,0.019652195,0.020802029,0.021966998,0.023439491,0.021931646,0.022058133,0.023468437,0.024077443,0.024862151,0.023709335
Massachusetts,0.031170679,0.030433461,0.032820665,0.033109918,0.037572226,0.037180791,0.037298668,0.040318107,0.041377575,0.043952566,0.045010421,0.044066715,0.040500877,0.036059047
Michigan,0.039398428,0.046507281,0.046203883,0.046451141,0.050404142,0.048191205,0.048627113,0.049659535,0.046805006,0.045349262,0.04357246,0.041475809,0.040133761,0.04248562
Minnesota,0.017823142,0.017892763,0.01940238,0.019165306,0.02022816,0.020254352,0.020472596,0.018491876,0.019212176,0.0182671,0.018688557,0.020439604,0.018874664,0.018547774
Mississippi,0.015380635,0.011054836,0.009435684,0.009509751,0.009740891,0.00939977,0.009904143,0.009545654,0.009525237,0.008247626,0.009096227,0.009322952,0.009557778,0.009383285
Missouri,0.024310779,0.024966568,0.023287445,0.023088849,0.020141776,0.020114121,0.018290742,0.019632446,0.020213271,0.021397425,0.021454343,0.021402921,0.022159832,0.02173394
Montana,0.003924528,0.004137663,0.00478112,0.00440669,0.002946755,0.00287114,0.003281547,0.002800082,0.00314407,0.003468872,0.003584153,0.00366925,0.003513115,0.003420531
Nebraska,0.005387302,0.005978054,0.005547458,0.005577027,0.005471872,0.00553228,0.005914759,0.005550293,0.005606749,0.004831917,0.005306831,0.005489716,0.005341488,0.005035653
Nevada,0.004645186,0.006855411,0.00571277,0.005764039,0.005001879,0.005264736,0.004978673,0.005627669,0.005373637,0.007215343,0.007175392,0.007127949,0.007499965,0.007263061
New Hampshire,0.005427052,0.004529523,0.005513871,0.005028557,0.006118567,0.00604558,0.00742209,0.006233343,0.00730977,0.007525765,0.007876387,0.008616674,0.007678659,0.00731374
New Jersey,0.03165983,0.028376042,0.035817516,0.036211633,0.039949049,0.041050109,0.040104991,0.03811807,0.036202295,0.037030381,0.037659646,0.034518473,0.033914341,0.032465385
New Mexico,0.004863438,0.006278677,0.00576468,0.00577369,0.004581035,0.004412339,0.004298519,0.004070292,0.003939117,0.005327092,0.005710729,0.00560319,0.005522556,0.005952345
New York,0.09313344,0.084910964,0.093183353,0.093926668,0.095204117,0.100181047,0.102274802,0.094450017,0.093178879,0.107916228,0.094770602,0.095718501,0.091490254,0.085390553
North Carolina,0.032468151,0.03185516,0.032451406,0.032608478,0.02766237,0.028225596,0.026186766,0.029537973,0.028910825,0.028169968,0.028279518,0.027786101,0.029739668,0.02999695
North Dakota,0.002094216,0.002353511,0.002715441,0.002727704,0.002457452,0.002562134,0.003017935,0.002152147,0.002542746,0.002512126,0.002750531,0.003173448,0.002843646,0.002419167
Ohio,0.049918652,0.045117223,0.047694746,0.048030885,0.048927402,0.049413784,0.046867798,0.042426597,0.043675717,0.03836116,0.038499951,0.039323834,0.039435579,0.039567532
Oklahoma,0.012754125,0.014522291,0.012676315,0.012750651,0.012357574,0.01224121,0.011519837,0.012068355,0.012194707,0.011856257,0.012074322,0.012280293,0.012876014,0.013382209
Oregon,0.008391123,0.010077105,0.007627506,0.007501688,0.00714567,0.007024287,0.006638954,0.007119664,0.007808902,0.008852886,0.008599293,0.008174186,0.008217307,0.008430335
Pennsylvania,0.053799962,0.051736396,0.05694002,0.057310665,0.059926738,0.058849357,0.058070598,0.055709619,0.057201372,0.058564413,0.058102255,0.059886166,0.056193614,0.052775529
Rhode Island,0.006119226,0.005964538,0.006586819,0.006652894,0.00635399,0.006145662,0.006703846,0.007530173,0.00712371,0.008569538,0.008025855,0.007700496,0.007577814,0.006275914
South Carolina,0.014180333,0.014245201,0.01337513,0.013490604,0.012784264,0.012597605,0.012012675,0.013942459,0.014029168,0.012875635,0.013234419,0.013071454,0.013744926,0.014578613
South Dakota,0.002749277,0.002680747,0.002372413,0.002345908,0.002490266,0.00252569,0.002719777,0.002332999,0.002397135,0.002424934,0.002565396,0.002644551,0.002514211,0.002365978
