Fiscal Year,Grantee,State,Total Program Funding,Income Eligible Fed,Income Eligible State,CLRCB,CLRCV,DFRCB,DFRCV,ESRCB,ESRCV,HLRCB,HLRCV,KSRCB,KSRCV,NGRCB,NGRCV,PARCB,PARCV,PQRCB,PQRCV,TERCB,TERCV
2014,Alabama,AL,51551796,600043,533182,0,0,101,2.5,112356,3781.9,4942,153.3,22,0.6,39842,570.3,5065,156.3,4942,153.3,378853,4544.9
2014,Alaska,AK,11172660,61548,48452,0,0,6654,178.9,6973,391.1,388,14.5,33,1,17751,161.6,7075,194.4,388,14.5,47823,764
2014,Arizona,AZ,22024006,696714,696576,0,0,12,0.3,110365,3849,4084,145,0,0,33442,557.2,4097,145.4,4084,145,377957,4574.3
2014,Arkansas,AR,27575756,343475,337808,0,0,31,0.8,62921,1753.3,4964,146.4,16,0.4,38558,396.1,5011,147.6,4964,146.4,246790,2349.2
2014,California,CA,152764309,3964208,3961140,0,0,543,15.7,304899,14517.4,18804,661.9,334,11.1,408754,4575.1,19681,688.7,18804,661.9,1355028,20075.6
2014,Colorado,CO,50978937,581340,377050,0,0,164,3.9,61733,2203.8,12021,331.7,5,0.1,138065,1174.4,12190,335.7,12021,331.7,353334,3787.5
2014,Connecticut,CT,85003850,439760,439760,0,0,58038,1595.6,43597,2523.3,6959,262.8,95,3,52615,723.4,65092,1861.4,6959,262.8,248117,5148.1
2014,Delaware,DE,14296794,101929,89404,0,0,2687,71.3,15848,617.4,3308,107.9,104,3,11944,149.5,6099,182.2,3308,107.9,66613,956.1
2014,District of Columbia,DC,11153264,71007,71007,0,0,804,22.6,7070,264,10,0.4,0,0,14854,185.9,814,22.9,10,0.4,38467,472.9
2014,Florida,FL,79476885,2140515,1789950,0,0,102,2.8,397618,13854.5,5413,228.8,43,1.3,17143,316.7,5558,232.9,5413,228.8,1177073,14483.7
2014,Georgia,GA,67140449,1113914,1112832,0,0,73,2,195055,6659.5,9603,305,57,1.7,136706,1943.3,9733,308.7,9603,305,741983,8977.7
2014,Hawaii,HI,6570697,126864,90389,0,0,0,0,8816,957.1,847,47.4,0,0,559,27.7,847,47.4,847,47.4,31407,1034.9
2014,Idaho,ID,20282227,158438,144733,0,0,730,18,27756,791.1,3537,107.2,1,0,25056,210.2,4268,125.2,3537,107.2,119891,1157
2014,Illinois,IL,181972136,1510993,1015201,0,0,488,13.4,156984,5481.1,20909,508.6,94,3.1,490661,4598.1,21492,525.1,20909,508.6,1031195,10666.6
2014,Indiana,IN,79053343,749412,576992,0,0,1191,32.9,114998,3861.6,14261,393.8,234,7.8,159397,1412.9,15686,434.4,14261,393.8,582543,5762.9
2014,Iowa,IA,56430461,347131,244808,0,0,775,21.2,49223,1610,17799,405,22,0.7,79620,767.3,18596,426.9,17799,405,253915,2828.8
2014,Kansas,KS,32849171,314904,189382,0,0,6,0.2,46693,1665.6,8660,211.5,5,0.2,72840,753.1,8672,211.8,8660,211.5,240294,2650.6
2014,Kentucky,KY,52485706,550567,415201,0,0,581,15.9,93488,2785,8378,231.9,252,8.3,59110,611.6,9211,256,8378,231.9,393757,3729
2014,Louisiana,LA,42157313,591845,591310,0,0,12,0.3,107139,3005.5,2095,72.6,2,0,45679,484.8,2109,73,2095,72.6,348374,3576.1
2014,Maine,ME,39886748,171101,139770,0,0,25972,708.3,15902,711.8,6562,216.6,1415,44.6,2434,39.8,33949,969.6,6562,216.6,91333,1818
2014,Maryland,MD,75001207,652002,383351,0,0,18602,523.2,93788,3746.1,8297,300.6,339,10.3,95387,1105.5,27239,834.1,8297,300.6,439759,5740.2
2014,Massachusetts,MA,140959905,859275,859275,0,0,84050,2308.6,68483,3490.6,8130,334.7,297,9.4,129937,1840.1,92477,2652.7,8130,334.7,438254,8052.5
2014,Michigan,MI,181499844,1221328,622384,0,0,4039,110.4,114353,4846.5,39531,1078.5,199,6.6,361293,3309.5,43770,1195.5,39531,1078.5,788441,9434.5
2014,Minnesota,MN,124715820,617387,489119,0,0,5166,142.4,77764,2737.9,23479,604.8,70,2.3,151404,1450.3,28715,749.6,23479,604.8,431646,5000.2
2014,Mississippi,MS,30810431,373710,368514,0,0,1,0,64562,2141.3,6768,227.6,28,0.7,29052,268.8,6797,228.4,6768,227.6,217710,2668.4
2014,Missouri,MO,71836084,726878,503506,0,0,239,6.4,122125,3807.8,17048,419.1,43,1.4,117054,1251,17331,426.9,17048,419.1,559922,5601.9
2014,Montana,MT,21266194,120368,120368,0,0,365,8.5,16955,506,6948,177.2,4,0.1,21922,194.8,7317,185.8,6948,177.2,87262,911.7
2014,Nebraska,NE,31837163,199800,103292,0,0,101,2.8,34216,1043,6980,149.1,7,0.2,43923,369.6,7088,152.1,6980,149.1,163525,1576.3
2014,Nevada,NV,12221217,283704,221377,0,0,147,4.2,40659,1541.1,1973,71.2,3,0.1,36304,401.9,2123,75.5,1973,71.2,151032,2032.8
2014,New Hampshire,NH,26252860,150953,118129,0,0,20046,518.2,15390,790.7,12661,411.9,438,13.1,7994,126.2,33145,943.3,12661,411.9,97606,1916
2014,New Jersey,NJ,129302376,1059271,761203,0,0,28599,811.9,95169,4400.2,5198,205.3,95,2.9,258878,2400.6,33892,1020.1,5198,205.3,595380,7895.2
2014,New Mexico,NM,16853676,222816,222705,0,0,7,0.2,22560,812,4895,153,1,0,33484,327.9,4903,153.2,4895,153,116568,1347.7
2014,New York,NY,368024819,2360959,2360959,0,0,113428,3129.8,170514,10031.3,24824,856.2,3808,113.7,473621,5747.2,142061,4099.6,24824,856.2,1120651,20009.2
2014,North Carolina,NC,86902426,1166069,807723,0,0,4870,131.6,200114,6511.4,18800,636.2,964,28.5,77048,893.1,24634,796.2,18800,636.2,721520,8292.4
2014,North Dakota,ND,21493659,82467,82467,0,0,891,24.1,18280,490.1,6437,154.9,7,0.2,13574,110.8,7335,179.2,6437,154.9,78388,782.2
2014,Ohio,OH,165821219,1442767,1294686,0,0,8080,220.4,180168,6598.2,18258,563.6,536,17.6,339908,3257,26875,801.6,18258,563.6,950116,10751.2
2014,Oklahoma,OK,37039506,416978,248062,0,0,21,0.6,79674,2343.2,7460,191,9,0.3,71692,697.4,7490,191.8,7460,191,325274,3262.4
2014,Oregon,OR,38796743,458035,457543,0,0,1686,45.3,63523,1948.7,2570,84.4,155,4.8,42358,482.7,4411,134.5,2570,84.4,245659,2691.6
2014,Pennsylvania,PA,222733949,1556952,1050059,0,0,91046,2560.5,184914,7217.8,19958,653.5,2030,61.4,267748,2999.2,113034,3275.4,19958,653.5,970346,13655.7
2014,Rhode Island,RI,26017823,141674,141674,0,0,15810,437.3,10476,527.1,1135,48.3,48,1.5,20287,298.6,16993,487.1,1135,48.3,65952,1322.3
2014,South Carolina,SC,42732312,559079,489131,0,0,239,6.5,104803,3824.3,4817,174.2,224,6.7,32652,403.6,5280,187.5,4817,174.2,376892,4436.7
2014,South Dakota,SD,18336580,88818,83649,0,0,492,13.2,16471,505.3,4439,107,3,0.1,14797,131.8,4934,120.3,4439,107,73281,764.8
