State,Year,State_Year,Total_HDD,Total_CDD
ALABAMA,1997,ALABAMA 1997,1604,1604
ALABAMA,1998,ALABAMA 1998,822,2176
ALABAMA,1999,ALABAMA 1999,1035,1987
ALABAMA,2000,ALABAMA 2000,1384,2206
ALABAMA,2001,ALABAMA 2001,955,1842
ALABAMA,2002,ALABAMA 2002,1157,2218
ALABAMA,2003,ALABAMA 2003,1070,1903
ALABAMA,2004,ALABAMA 2004,924,2082
ALABAMA,2005,ALABAMA 2005,1143,2093
ALABAMA,2006,ALABAMA 2006,1046,2233
ALABAMA,2007,ALABAMA 2007,876,2290
ALABAMA,2008,ALABAMA 2008,1097,1957
ALABAMA,2009,ALABAMA 2009,1124,1922
ALABAMA,2010,ALABAMA 2010,1191,2346
ALABAMA,2011,ALABAMA 2011,995,2150
ALABAMA,2012,ALABAMA 2012,999,2086
ALABAMA,2013,ALABAMA 2013,1070,1903
ALABAMA,2014,ALABAMA 2014,1065,1980
ALABAMA,2015,ALABAMA 2015,615,2173
ALABAMA,2016,ALABAMA 2016,735,2500
ALABAMA,2017,ALABAMA 2017,991,2134
ALABAMA,2018,ALABAMA 2018,1005,2304
ALABAMA,2019,ALABAMA 2019,917,2413
ALABAMA,2020,ALABAMA 2020,893,2096
ALASKA,1997,ALASKA 1997,25,25
ALASKA,1998,ALASKA 1998,4862,11
ALASKA,1999,ALASKA 1999,5049,19
ALASKA,2000,ALASKA 2000,4566,4
ALASKA,2001,ALASKA 2001,5141,6
ALASKA,2002,ALASKA 2002,4080,12
ALASKA,2003,ALASKA 2003,4671,22
ALASKA,2004,ALASKA 2004,4372,47
ALASKA,2005,ALASKA 2005,4585,14
ALASKA,2006,ALASKA 2006,4959,2
ALASKA,2007,ALASKA 2007,4450,13
ALASKA,2008,ALASKA 2008,5299,6
ALASKA,2009,ALASKA 2009,4699,17
ALASKA,2010,ALASKA 2010,4851,11
ALASKA,2011,ALASKA 2011,4868,7
ALASKA,2012,ALASKA 2012,5229,5
ALASKA,2013,ALASKA 2013,4442,54
ALASKA,2014,ALASKA 2014,4187,8
ALASKA,2015,ALASKA 2015,4475,33
ALASKA,2016,ALASKA 2016,4498,23
ALASKA,2017,ALASKA 2017,4314,20
ALASKA,2018,ALASKA 2018,3921,20
ALASKA,2019,ALASKA 2019,3810,92
ALASKA,2020,ALASKA 2020,4457,5
ARIZONA,1997,ARIZONA 1997,2837,2837
ARIZONA,1998,ARIZONA 1998,819,2496
ARIZONA,1999,ARIZONA 1999,679,2642
ARIZONA,2000,ARIZONA 2000,919,3039
ARIZONA,2001,ARIZONA 2001,728,3231
ARIZONA,2002,ARIZONA 2002,728,3103
ARIZONA,2003,ARIZONA 2003,722,3230
ARIZONA,2004,ARIZONA 2004,809,3041
ARIZONA,2005,ARIZONA 2005,653,3073
ARIZONA,2006,ARIZONA 2006,765,3108
ARIZONA,2007,ARIZONA 2007,719,3079
ARIZONA,2008,ARIZONA 2008,711,2769
ARIZONA,2009,ARIZONA 2009,813,2924
ARIZONA,2010,ARIZONA 2010,736,2729
